VTX,IDX,Position[0],Position[1],Position[2],Position[3],Normal[0],Normal[1],Normal[2],TexCoord0[0],TexCoord0[1]
0,247,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.2620090842,-0.6883800030
1,0,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.2636567056,-0.6578717232
2,462,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.2278791368,-0.6491519213
3,301,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.2667352259,-0.6309952140
4,462,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.2278791368,-0.6491519213
5,0,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.2636567056,-0.6578717232
6,246,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.2607367039,-0.6888398528
7,24,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.3042666614,-0.6379587650
8,1,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.2643312216,-0.6587761641
9,301,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.2667352259,-0.6309952140
10,1,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.2643312216,-0.6587761641
11,24,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.3042666614,-0.6379587650
12,430,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.2668862343,-0.4530467987
13,31,2202412259307592600000000.0000000000,-5147065871678660200000000.0000000000,-321178711025554290000000.0000000000,1.0000000000,-556222368211554900000000.0000000000,-43019402823253050000000000.0000000000,-19935613069700779000000000.0000000000,0.4575523436,-0.4207965434
14,2,-1155286146612795600000000.0000000000,-441905048911812310000000.0000000000,-1250523083385656100000000.0000000000,1.0000000000,-22755283217558624000000000.0000000000,-10758651888013951000000000.0000000000,-25559075330455025000000000.0000000000,0.2665011883,-0.4226842523
15,430,-1.#IND000000,-1.#IND000000,-1.#IND000000,1.0000000000,-1.#IND000000,-1.#IND000000,-1.#IND000000,0.2668862343,-0.4530467987
16,2,-1155286146612795600000000.0000000000,-441905048911812310000000.0000000000,-1250523083385656100000000.0000000000,1.0000000000,-22755283217558624000000000.0000000000,-10758651888013951000000000.0000000000,-25559075330455025000000000.0000000000,0.2665011883,-0.4226842523
17,468,-2780536821457351800000000.0000000000,5158509770533387800000000.0000000000,-199559471462775290000000.0000000000,1.0000000000,-34066201800101825000000000.0000000000,27491500899384616000000000.0000000000,-18572748017869539000000000.0000000000,0.0812552124,-0.4207965434
